"X..71.800.","X..19.800.","X..7.900.","X.7..","X.1540.35.","X.no.","X.4.550.","X.100..","X.N.A.","X.N.A..1","X.94..","X.4.1.years.","X..12.500.","X..81.400.","X.93..","X.Nov.1.","X.Jan.1.","X.65..","X.98.."
"$61,400","$29,500","$21,800","64%","1150/24","no","2,000","83%","15%","$17,060","71%","4.1 years","$27,000","$40,500","76%","N/A","rolling","84%","100%"
"$32,400","$17,900","$18,100","89%","NA/NA","no","4,780","N/A","N/A","N/A","53%","4.3 years","$25,810","$45,100","55%","N/A","rolling","74%","N/A"
"$63,200","$36,000","$25,200","68%","1180/26","no","1,990","87%","40%","$17,770","68%","4.1 years","$26,410","$45,100","71%","Nov 15","rolling","92%","100%"
"$66,400","$44,200","$34,300","64%","1160/26","yes","1,770","N/A","N/A","N/A","70%","4.1 years","$26,980","$45,700","64%","Nov 1","Feb 1","95%","N/A"
"$47,800","$23,800","$21,600","40%","1020/20","no","970","65%","13%","$11,940","52%","4.2 years","$26,310","$40,200","73%","N/A","rolling","98%","99%"
"$34,100","$17,400","$15,000","96%","NA/NA","no","1,160","70%","17%","$7,780","53%","4.2 years","$20,810","$39,300","64%","N/A","Aug 1","69%","96%"
"$35,200","$26,300","$23,700","91%","1040/20","yes","1,650","64%","22%","N/A","49%","4.4 years","$26,050","$38,800","63%","N/A","rolling","90%","92%"
"$24,300","$13,800","$12,800","49%","930/20","yes","3,840","77%","3%","$4,530","40%","4.4 years","$27,000","$41,600","66%","N/A","N/A","76%","70%"
"$54,400","$41,000","$35,700","77%","1170/25","no","4,500","52%","32%","$7,780","65%","4.1 years","$26,000","$47,100","72%","Nov 1","rolling","77%","98%"
"$24,900","$13,100","$13,400","69%","960/20","yes","5,310","51%","2%","$9,900","43%","4.6 years","$30,500","$43,200","54%","N/A","N/A","74%","77%"
"$59,100","$45,300","$41,300","70%","1130/24","yes","11,360","41%","43%","$10,090","68%","4.3 years","$25,000","$44,000","62%","N/A","rolling","91%","97%"
"$44,600","$40,600","$40,300","58%","1110/23","yes","2,210","N/A","1%","N/A","54%","4.3 years","$25,500","$50,600","68%","Nov 1","Feb 1","76%","98%"
"$22,000","$17,300","$15,700","N/A","NA/NA","no","1,190","69%","3%","$2,220","42%","4.1 years","$23,820","$37,800","59%","N/A","rolling","61%","82%"
"$42,000","$20,000","$16,200","68%","1180/26","no","1,490","76%","31%","$11,480","64%","4.3 years","$22,000","$41,200","60%","N/A","rolling","97%","100%"
"$68,900","$34,000","$18,600","63%","NA/NA","no","1,180","93%","26%","$12,370","66%","4.1 years","$26,000","$41,600","58%","Nov 15","Jan 15","94%","100%"
"$30,600","$17,500","$18,500","82%","1040/22","yes","4,160","60%","13%","$7,250","59%","4.4 years","$24,500","$41,800","73%","N/A","rolling","83%","92%"
"$34,700","$18,400","$17,300","61%","NA/NA","no","1,310","59%","4%","$8,080","42%","4.5 years","$32,960","$42,600","65%","N/A","rolling","96%","97%"
"$67,000","$45,700","$45,500","48%","NA/NA","no","6,330","45%","27%","$19,560","64%","4.3 years","$23,750","$42,800","53%","Nov 1","Jan 15","55%","36%"
"$69,500","$49,900","$40,000","59%","1230/25","no","2,890","N/A","N/A","N/A","65%","4.3 years","$26,000","$44,800","58%","N/A","rolling","87%","N/A"
"$43,200","$23,300","$23,300","71%","NA/NA","no","1,190","66%","1%","$1,470","47%","4.3 years","$26,000","$36,700","61%","N/A","N/A","98%","99%"
"$39,100","$28,400","$32,900","52%","1030/20","yes","3,320","45%","N/A","N/A","45%","4.3 years","$28,500","$43,100","64%","N/A","June 1","82%","90%"
"$34,100","$20,100","$20,300","56%","950/19","yes","2,040","47%","3%","$7,700","50%","4.2 years","$32,500","$37,700","51%","N/A","rolling","94%","92%"
"$24,900","$15,600","$14,400","89%","980/20","no","3,110","78%","41%","$5,150","40%","4.7 years","$31,000","$45,900","56%","N/A","rolling","89%","91%"
"$39,600","$27,100","$26,700","66%","980/19","no","1,570","77%","N/A","$2,000","48%","4.7 years","$31,000","$42,500","54%","March 30","rolling","89%","98%"
"$38,100","$26,400","$28,100","71%","1010/20","yes","740","75%","N/A","N/A","44%","4.2 years","$27,000","$37,400","63%","N/A","Aug 1","89%","100%"
