"X..71.800.","X..19.800.","X..7.900.","X.7..","X.1540.35.","X.no.","X.4.550.","X.100..","X.N.A.","X.N.A..1","X.94..","X.4.1.years.","X..12.500.","X..81.400.","X.93..","X.Nov.1.","X.Jan.1.","X.65..","X.98.."
"$18,500","$41,600","$39,000","39%","1150/24","yes","2,170","34%","1%","$16,430","75%","4.1 years","$26,170","$49,400","76%","Nov 1","Feb 1","86%","89%"
"$27,700","$18,100","$13,900","65%","1170/25","no","4,020","45%","13%","$2,640","63%","4.2 years","$21,500","$45,500","62%","Nov 15","May 15","62%","97%"
"$70,300","$45,200","$24,700","32%","1340/31","no","10,870","93%","29%","$21,090","82%","4.2 years","$17,510","$54,100","83%","Nov 1","rolling","69%","75%"
"$45,500","$21,600","$17,500","68%","1000/23","no","1,270","82%","8%","$16,990","63%","4.2 years","$25,930","$40,400","73%","N/A","Aug 1","71%","100%"
"$54,300","$26,000","$20,100","56%","1030/24","yes","2,640","79%","22%","$18,230","68%","4.2 years","$25,000","$46,400","80%","N/A","rolling","96%","100%"
"$21,500","$10,800","$6,400","77%","1320/29","yes","810","88%","37%","$2,560","60%","4.1 years","$16,000","$45,800","N/A","N/A","April 15","97%","93%"
"$58,100","$24,200","$13,700","71%","NA/NA","no","1,060","74%","16%","$18,840","66%","4.1 years","$25,000","$43,400","76%","N/A","rolling","95%","99%"
"$61,800","$29,400","$21,300","76%","1180/25","no","1,600","81%","21%","$23,820","73%","4.1 years","$27,000","$46,500","85%","N/A","March 1","98%","100%"
"$53,100","$22,500","$15,000","79%","1150/25","no","1,100","84%","20%","$22,470","72%","4 years","$27,000","$45,300","81%","N/A","rolling","100%","100%"
"$38,400","$20,500","$17,500","71%","NA/NA","no","5,240","68%","17%","$3,110","45%","4.3 years","$15,000","$53,600","53%","N/A","rolling","78%","73%"
"$45,200","$18,500","$17,400","54%","NA/NA","no","1,710","82%","28%","$11,120","57%","4.3 years","$21,500","$40,200","74%","N/A","rolling","95%","100%"
"$58,900","$26,700","$16,600","39%","1230/26","no","1,470","78%","28%","$20,240","66%","4.1 years","$25,000","$48,700","74%","Dec 1","Aug 1","98%","99%"
"$48,800","$27,000","$19,900","82%","1010/21","yes","730","N/A","N/A","N/A","63%","4 years","$27,000","$43,800","78%","N/A","rolling","96%","N/A"
"$48,300","$24,300","$19,400","65%","1200/26","no","1,750","84%","37%","$16,680","70%","4.3 years","$26,160","$45,200","79%","N/A","rolling","96%","98%"
"$54,700","$37,200","$29,500","76%","1180/25","no","4,250","53%","24%","$10,550","66%","4.2 years","$26,000","$61,800","87%","N/A","rolling","86%","88%"
"$20,000","$12,900","$9,500","79%","NA/22","no","6,580","76%","3%","$1,580","52%","4.5 years","$20,300","$42,000","77%","N/A","rolling","44%","78%"
"$72,300","$41,000","$34,700","24%","1310/29","no","1,990","66%","N/A","N/A","89%","4.2 years","$27,000","$51,400","74%","Nov 1","Feb 1","39%","88%"
"$39,300","$14,600","$11,700","79%","NA/NA","no","5,870","52%","3%","$5,220","43%","4.5 years","$24,000","$46,700","69%","N/A","rolling","69%","87%"
"$27,600","$18,200","$16,500","66%","1030/21","yes","7,890","46%","5%","$4,550","51%","4.6 years","$23,250","$47,500","77%","N/A","rolling","54%","72%"
"$25,400","$15,000","$11,900","69%","1100/24","no","16,160","80%","14%","$6,070","62%","4.7 years","$27,000","$47,200","75%","May 1","rolling","66%","82%"
"$74,500","$31,300","$6,100","13%","NA/NA","no","1,070","100%","2%","$6,330","84%","4.1 years","$14,630","$51,700","73%","Nov 15","Jan 1","46%","98%"
"$44,600","$22,400","$19,200","71%","1070/22","yes","1,000","60%","24%","$17,560","64%","4.2 years","$25,000","$44,700","71%","N/A","rolling","52%","71%"
"$62,600","$24,700","$20,500","86%","1170/25","no","2,490","77%","19%","$25,050","67%","4.2 years","$25,000","$47,300","78%","N/A","Aug 15","94%","98%"
"$69,500","$34,600","$22,800","70%","1270/29","no","1,750","87%","27%","$20,830","78%","4 years","$25,000","$48,400","77%","Nov 1","Jan 1","97%","100%"
"$26,000","$17,300","$13,100","85%","1020/21","no","1,770","N/A","N/A","N/A","54%","4.3 years","$25,000","$39,100","71%","N/A","rolling","73%","N/A"
"$20,600","$11,600","$10,600","65%","960/18","no","4,610","71%","1%","$4,410","48%","4.6 years","$25,000","$46,600","62%","N/A","Feb 15","78%","85%"
"$20,600","$12,300","$8,200","94%","1160/25","no","3,480","75%","8%","$2,310","63%","4.3 years","$20,890","$39,500","64%","N/A","rolling","57%","87%"
"$45,500","$25,400","$19,900","93%","1150/24","yes","1,820","69%","19%","$10,180","63%","4.2 years","$21,500","$44,700","68%","N/A","Aug 1","54%","97%"
"$50,300","$22,600","$17,100","46%","1150/26","no","800","85%","13%","$20,510","65%","4.1 years","$25,000","$50,000","81%","N/A","rolling","94%","100%"
"$74,000","$39,400","$17,900","17%","1420/32","no","7,920","94%","40%","$25,730","85%","4.1 years","$22,020","$51,000","83%","Nov 1","Nov 15","71%","97%"
"$48,500","$24,100","$17,700","97%","1240/27","yes","970","81%","29%","$16,180","71%","4.1 years","$22,500","$41,900","70%","N/A","N/A","94%","99%"
"$45,700","$25,300","$22,700","71%","1150/24","no","1,010","93%","25%","$12,160","69%","4.1 years","$23,000","$43,700","70%","N/A","rolling","98%","93%"
"$51,500","$28,200","$20,100","78%","1120/25","yes","2,100","81%","26%","$13,540","71%","4.1 years","$26,980","$45,000","82%","N/A","rolling","95%","97%"
"$55,300","$29,500","$22,300","79%","1120/25","no","2,450","68%","18%","$17,680","71%","4.1 years","$25,460","$47,900","80%","N/A","Aug 1","80%","94%"
"$28,000","$15,500","$11,500","83%","NA/NA","no","26,650","62%","18%","$6,640","52%","4.3 years","$19,650","$47,400","72%","N/A","rolling","69%","69%"
"$56,600","$13,800","$9,600","74%","1030/20","no","2,510","79%","8%","$21,250","50%","4.4 years","$23,600","$47,200","75%","N/A","N/A","91%","99%"
"$42,200","$21,900","$21,600","64%","1110/23","no","890","70%","7%","$10,450","61%","4.2 years","$20,500","$41,500","69%","N/A","rolling","86%","97%"
"$57,000","$22,600","$18,400","70%","NA/NA","no","970","84%","23%","$28,680","69%","4.1 years","$26,940","$45,400","71%","Nov 1","N/A","95%","100%"
"$31,500","$20,500","$15,500","75%","1180/26","yes","3,950","76%","28%","$7,270","67%","4.3 years","$26,000","$46,200","71%","N/A","rolling","85%","93%"
"$61,800","$31,400","$25,100","73%","1130/23","no","2,060","69%","17%","$17,590","68%","4.1 years","$27,000","$50,400","84%","N/A","March 1","88%","97%"
"$47,500","$27,700","$20,200","95%","1130/23","no","3,610","65%","27%","$15,950","72%","4.2 years","$24,250","$45,700","81%","N/A","rolling","75%","98%"
"$45,900","$20,000","$38,800","32%","1210/25","yes","6,170","62%","8%","$27,100","62%","4.3 years","$26,000","$52,100","76%","Nov 1","Feb 15","77%","63%"
"$76,500","$40,300","$30,200","51%","1370/31","no","6,450","86%","40%","$27,280","78%","4.1 years","$19,500","$55,900","82%","Nov 1","Jan 15","70%","70%"
